# Google Ads Editor CSV Import — MCA Lead Gen Campaigns
# Import this file via Google Ads Editor: File > Import > From CSV
# — Max

Campaign,Ad Group,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Display URL,Final URL,Campaign Budget,Campaign Type,Bid Strategy Type
MCA Lead Gen - Search,Trucking Funding,MCA trucking,Phrase,MCA for Trucking,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your trucking company based on revenue not credit. One application 100+ funders.,No hard credit pull. 24-hour funding.,funding.yournextfund.com/trucking-mca-atlanta-ga,https://funding.yournextfund.com/trucking-mca-atlanta-ga/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Trucking Funding,trucking working capital,Phrase,MCA for Trucking,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your trucking company based on revenue not credit. One application 100+ funders.,No hard credit pull. 24-hour funding.,funding.yournextfund.com/trucking-mca-atlanta-ga,https://funding.yournextfund.com/trucking-mca-atlanta-ga/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Trucking Funding,fleet funding,Phrase,MCA for Trucking,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your trucking company based on revenue not credit. One application 100+ funders.,No hard credit pull. 24-hour funding.,funding.yournextfund.com/trucking-mca-atlanta-ga,https://funding.yournextfund.com/trucking-mca-atlanta-ga/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,merchant cash advance,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,MCA broker,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,business cash advance,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,merchant cash advance fast,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,MCA funding,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,business funding fast,Phrase,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,working capital loan,Phrase,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,small business funding,Phrase,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Medical Practice,medical practice funding,Phrase,Medical Practice Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your medical practice. Our AI matches you to funders who understand healthcare cash cycles.,No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/medical-practice-mca-miami-fl,https://funding.yournextfund.com/medical-practice-mca-miami-fl/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Medical Practice,MCA medical practice,Phrase,Medical Practice Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your medical practice. Our AI matches you to funders who understand healthcare cash cycles.,No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/medical-practice-mca-miami-fl,https://funding.yournextfund.com/medical-practice-mca-miami-fl/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Medical Practice,doctor office financing,Phrase,Medical Practice Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funding for your medical practice. Our AI matches you to funders who understand healthcare cash cycles.,No hard credit pull. Funding in 24 hours.,funding.yournextfund.com/medical-practice-mca-miami-fl,https://funding.yournextfund.com/medical-practice-mca-miami-fl/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Auto Repair,auto repair shop funding,Phrase,Auto Repair Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funded in 24 hours and never turn away a job because you cant stock parts.,No hard credit pull. Funding based on revenue.,funding.yournextfund.com/auto-repair-mca-chicago-il,https://funding.yournextfund.com/auto-repair-mca-chicago-il/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Auto Repair,MCA auto repair,Phrase,Auto Repair Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funded in 24 hours and never turn away a job because you cant stock parts.,No hard credit pull. Funding based on revenue.,funding.yournextfund.com/auto-repair-mca-chicago-il,https://funding.yournextfund.com/auto-repair-mca-chicago-il/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Auto Repair,auto shop financing,Phrase,Auto Repair Funding,AI Shops 100+ Funders,No Hard Credit 24hr,Get funded in 24 hours and never turn away a job because you cant stock parts.,No hard credit pull. Funding based on revenue.,funding.yournextfund.com/auto-repair-mca-chicago-il,https://funding.yournextfund.com/auto-repair-mca-chicago-il/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,business cash advance no credit check,Phrase,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
MCA Lead Gen - Search,Generic MCA,merchant advance,Exact,Merchant Cash Advance,AI Shops 100+ Funders,No Hard Credit 24hr Funding,Get the best MCA offer. One application our AI shops 100+ funders. No hard credit pull. Funding in 24 hours.,$5K to $2M+. One application. 100+ funders compared.,funding.yournextfund.com/restaurant-mca-new-york-ny,https://funding.yournextfund.com/restaurant-mca-new-york-ny/,75/day,Search,Maximize Conversions
